la_Code,Borough,Occ_Rating,Observation,Value,Status
E09000031,Waltham Forest,rating: -1,10794,4162,Migrant
E09000031,Waltham Forest,-2 or less,3039,1172,Migrant
E09000032,Wandsworth,rating: +2 or more,29689,18432,Non-Migrant
E09000032,Wandsworth,rating: +1,38614,23972,Non-Migrant
E09000032,Wandsworth,rating: 0,58750,36473,Non-Migrant
E09000032,Wandsworth,rating: -1,8742,5427,Non-Migrant
E09000032,Wandsworth,-2 or less,1598,992,Non-Migrant
E09000032,Wandsworth,rating: +2 or more,29689,11257,Migrant
E09000032,Wandsworth,rating: +1,38614,14642,Migrant
E09000032,Wandsworth,rating: 0,58750,22277,Migrant
E09000032,Wandsworth,rating: -1,8742,3315,Migrant
E09000032,Wandsworth,-2 or less,1598,606,Migrant
E09000033,Westminster,rating: +2 or more,11541,5125,Non-Migrant
E09000033,Westminster,rating: +1,25088,11142,Non-Migrant
E09000033,Westminster,rating: 0,48474,21527,Non-Migrant
E09000033,Westminster,rating: -1,7658,3401,Non-Migrant
E09000033,Westminster,-2 or less,2053,912,Non-Migrant
E09000033,Westminster,rating: +2 or more,11541,6416,Migrant
E09000033,Westminster,rating: +1,25088,13946,Migrant
E09000033,Westminster,rating: 0,48474,26947,Migrant
E09000033,Westminster,rating: -1,7658,4257,Migrant
E09000033,Westminster,-2 or less,2053,1141,Migrant
