la_Code,borough,economic_Status,Observation,Status,Value
E09000017,Hillingdon,Self-employed: Full-time,15551,Migrant,5981
E09000017,Hillingdon,Unemployed/Inactive,99073,Migrant,38102
E09000017,Hillingdon,Employee: Part-time,30472,Non-Migrant,18753
E09000017,Hillingdon,Employee: Full-time,86738,Non-Migrant,53380
E09000017,Hillingdon,Self-employed: Part-time,10045,Non-Migrant,6182
E09000017,Hillingdon,Self-employed: Full-time,15551,Non-Migrant,9570
E09000017,Hillingdon,Unemployed/Inactive,99073,Non-Migrant,60971
E09000018,Hounslow,Employee: Part-time,28876,Migrant,14291
E09000018,Hounslow,Employee: Full-time,82670,Migrant,40914
E09000018,Hounslow,Self-employed: Part-time,11439,Migrant,5661
E09000018,Hounslow,Self-employed: Full-time,16641,Migrant,8236
E09000018,Hounslow,Unemployed/Inactive,89881,Migrant,44483
E09000018,Hounslow,Employee: Part-time,28876,Non-Migrant,14585
E09000018,Hounslow,Employee: Full-time,82670,Non-Migrant,41756
E09000018,Hounslow,Self-employed: Part-time,11439,Non-Migrant,5778
E09000018,Hounslow,Self-employed: Full-time,16641,Non-Migrant,8405
E09000018,Hounslow,Unemployed/Inactive,89881,Non-Migrant,45398
E09000019,Islington,Employee: Part-time,17560,Migrant,7003
E09000019,Islington,Employee: Full-time,76024,Migrant,30318
E09000019,Islington,Self-employed: Part-time,9336,Migrant,3723
E09000019,Islington,Self-employed: Full-time,12051,Migrant,4806
E09000019,Islington,Unemployed/Inactive,68656,Migrant,27380
E09000019,Islington,Employee: Part-time,17560,Non-Migrant,10557
E09000019,Islington,Employee: Full-time,76024,Non-Migrant,45706
E09000019,Islington,Self-employed: Part-time,9336,Non-Migrant,5613
E09000019,Islington,Self-employed: Full-time,12051,Non-Migrant,7245
E09000019,Islington,Unemployed/Inactive,68656,Non-Migrant,41276
E09000020,Kensington and Chelsea,Employee: Part-time,9633,Migrant,5194
E09000020,Kensington and Chelsea,Employee: Full-time,41696,Migrant,22484
E09000020,Kensington and Chelsea,Self-employed: Part-time,7972,Migrant,4299
E09000020,Kensington and Chelsea,Self-employed: Full-time,10139,Migrant,5467
E09000020,Kensington and Chelsea,Unemployed/Inactive,54378,Migrant,29322
E09000020,Kensington and Chelsea,Employee: Part-time,9633,Non-Migrant,4439
E09000020,Kensington and Chelsea,Employee: Full-time,41696,Non-Migrant,19212
E09000020,Kensington and Chelsea,Self-employed: Part-time,7972,Non-Migrant,3673
E09000020,Kensington and Chelsea,Self-employed: Full-time,10139,Non-Migrant,4672
E09000020,Kensington and Chelsea,Unemployed/Inactive,54378,Non-Migrant,25056
E09000021,Kingston upon Thames,Employee: Part-time,16267,Migrant,5479
E09000021,Kingston upon Thames,Employee: Full-time,51341,Migrant,17293
E09000021,Kingston upon Thames,Self-employed: Part-time,7368,Migrant,2482
E09000021,Kingston upon Thames,Self-employed: Full-time,9172,Migrant,3089
E09000021,Kingston upon Thames,Unemployed/Inactive,51319,Migrant,17285
E09000021,Kingston upon Thames,Employee: Part-time,16267,Non-Migrant,10788
E09000021,Kingston upon Thames,Employee: Full-time,51341,Non-Migrant,34048
E09000021,Kingston upon Thames,Self-employed: Part-time,7368,Non-Migrant,4886
E09000021,Kingston upon Thames,Self-employed: Full-time,9172,Non-Migrant,6083
E09000021,Kingston upon Thames,Unemployed/Inactive,51319,Non-Migrant,34034
E09000022,Lambeth,Employee: Part-time,29023,Migrant,11198
E09000022,Lambeth,Employee: Full-time,122803,Migrant,47382
E09000022,Lambeth,Self-employed: Part-time,13600,Migrant,5247
E09000022,Lambeth,Self-employed: Full-time,17391,Migrant,6710
E09000022,Lambeth,Unemployed/Inactive,88191,Migrant,34027
E09000022,Lambeth,Employee: Part-time,29023,Non-Migrant,17825
E09000022,Lambeth,Employee: Full-time,122803,Non-Migrant,75421
E09000022,Lambeth,Self-employed: Part-time,13600,Non-Migrant,8353
E09000022,Lambeth,Self-employed: Full-time,17391,Non-Migrant,10681
E09000022,Lambeth,Unemployed/Inactive,88191,Non-Migrant,54164
E09000023,Lewisham,Employee: Part-time,30917,Migrant,11014
E09000023,Lewisham,Employee: Full-time,95302,Migrant,33951
E09000023,Lewisham,Self-employed: Part-time,25500,Migrant,9084
E09000023,Lewisham,Self-employed: Full-time,16239,Migrant,5785
E09000023,Lewisham,Unemployed/Inactive,86701,Migrant,30887
E09000023,Lewisham,Employee: Part-time,30917,Non-Migrant,19903
E09000023,Lewisham,Employee: Full-time,95302,Non-Migrant,61351
E09000023,Lewisham,Self-employed: Part-time,25500,Non-Migrant,16416
E09000023,Lewisham,Self-employed: Full-time,16239,Non-Migrant,10454
E09000023,Lewisham,Unemployed/Inactive,86701,Non-Migrant,55814
E09000024,Merton,Employee: Part-time,20125,Migrant,7401
E09000024,Merton,Employee: Full-time,68256,Migrant,25102
E09000024,Merton,Self-employed: Part-time,10171,Migrant,3741
E09000024,Merton,Self-employed: Full-time,13513,Migrant,4970
E09000024,Merton,Unemployed/Inactive,60707,Migrant,22326
E09000024,Merton,Employee: Part-time,20125,Non-Migrant,12724
E09000024,Merton,Employee: Full-time,68256,Non-Migrant,43154
E09000024,Merton,Self-employed: Part-time,10171,Non-Migrant,6430
E09000024,Merton,Self-employed: Full-time,13513,Non-Migrant,8543
E09000024,Merton,Unemployed/Inactive,60707,Non-Migrant,38381
E09000025,Newham,Employee: Part-time,38993,Migrant,20948
E09000025,Newham,Employee: Full-time,89725,Migrant,48203
E09000025,Newham,Self-employed: Part-time,13705,Migrant,7363
E09000025,Newham,Self-employed: Full-time,21022,Migrant,11294
E09000025,Newham,Unemployed/Inactive,112728,Migrant,60561
E09000025,Newham,Employee: Part-time,38993,Non-Migrant,18045
E09000025,Newham,Employee: Full-time,89725,Non-Migrant,41522
E09000025,Newham,Self-employed: Part-time,13705,Non-Migrant,6342
E09000025,Newham,Self-employed: Full-time,21022,Non-Migrant,9728
E09000025,Newham,Unemployed/Inactive,112728,Non-Migrant,52167
E09000026,Redbridge,Employee: Part-time,31442,Migrant,13711
E09000026,Redbridge,Employee: Full-time,76679,Migrant,33438
E09000026,Redbridge,Self-employed: Part-time,13401,Migrant,5844
E09000026,Redbridge,Self-employed: Full-time,20108,Migrant,8769
E09000026,Redbridge,Unemployed/Inactive,100390,Migrant,43778
